,0
0,1389213.0192151745
1,1307166.5717047853
2,1317843.8039608968
3,1278363.9205948617
4,1233353.9189399125
5,1232879.550461733
6,1316784.8109777465
7,1308840.238244119
8,1272874.8204684975
9,1196608.434774051
10,1360300.44134198
11,1289997.6942155608
12,1284337.8000601446
13,1322600.7291330122
14,1316128.1561485368
15,1299227.771804439
16,1369888.6443540852
17,1310957.160099301
18,1356878.0004061807
19,1295415.0302335839
20,1300182.2769493628
21,1292654.5724376545
22,1293161.859853241
23,1235008.6531160187
24,1280493.3099705167
25,1350223.0410117346
26,1363480.6618855963
27,1282053.29542907
28,1263584.1551777862
29,1292665.8892586126
30,1316058.123004907
31,1307510.8548551342
32,1216615.9207616677
33,1311632.2395334805
34,1297308.4512116495
35,1317007.4449098404
36,1339362.9750009505
37,1300348.6711284232
38,1229161.4378873005
39,1316879.103656675
40,1291379.1986671886
41,1203281.471638297
42,1299649.5261081369
43,1224384.901687436
44,1316012.9468661672
45,1226176.725944805
46,1299383.4095044753
47,1293993.6678901715
48,1250434.6823119726
49,1220602.1044153848
50,1191889.5850904186
51,1292652.6726873266
52,1329611.7087098476
53,1254103.0969699353
54,1223067.473094759
55,1201861.273527524
56,1226457.881207561
57,1277334.110568569
58,1250012.2036930572
59,1219096.4549458409
60,1212143.4825340926
61,1214249.1873354944
62,1184580.5408290017
63,1247665.2374397432
64,1264461.0251810427
65,1204319.0610216386
66,1214993.3987542463
67,1296066.4999589792
68,1247802.2817752901
69,1251787.404763757
70,1224987.2615197774
71,1190834.1806832259
72,1281476.3747289036
73,1232907.4299744158
74,1258936.019333222
75,1177277.1662441231
76,1101060.1970605943
77,1220825.7287940928
78,1238370.0765612982
79,1230422.1663506087
80,1261027.7695263291
81,1183940.6248738621
82,1200711.9334655586
83,1230253.1760723984
84,1203115.4826058168
85,1173767.2572795015
86,1226029.5562082941
87,1135440.6669943323
88,1231555.5691649413
89,1263099.4585774748
90,1136856.2120010678
91,1171149.4773336656
92,1170950.3883855855
93,1138834.1910650774
94,1167821.411952312
95,1156319.1012993695
96,1186968.7918970815
97,1138807.6018131464
98,1108354.1335682168
99,1091944.3149126754
100,1138444.5787914316
101,1161233.6744214767
102,1124884.2858101511
103,1176980.7317889174
104,1143448.6562531162
105,1189282.8303001423
106,1098086.95378477
107,1162481.226263775
108,1089128.368164447
109,1141008.076103729
110,1152885.0705938968
111,1127513.5924944852
112,1117239.268546324
113,1152177.8018899076
114,1172005.2935382791
115,1142576.4508205536
116,1202974.106074274
117,1172016.5331900434
118,1139872.143280392
119,1186294.4954568304
120,1146815.0068242732
121,1117413.549210642
122,1180444.8170890657
123,1138012.9697915758
124,1102392.2921450373
125,1062047.290936564
126,1082702.3888419392
127,1119023.9152321639
128,1085468.3841175905
129,1116854.088463413
130,1100625.1469311763
131,1134964.9511062945
132,1172487.630147823
133,1058301.9655821852
134,1102673.3559757741
135,1162053.5273351946
136,1110069.1740134512
137,1138751.3109085974
138,1169210.368438087
139,1175302.6131273662
140,1068223.2853457893
141,1059959.755741683
142,1077563.41258964
143,1051511.895243516
144,1117768.4576203285
145,1059700.978911335
146,1034915.7564217879
147,1079256.342529506
148,1032856.7685596829
149,1122688.4244117546
150,1097989.5532740655
151,1074352.975623554
152,1180207.8842900328
153,1054457.765220863
154,1059188.1117119486
155,1106140.6032827878
156,1098042.439614877
157,1114262.421495094
158,1092545.447904691
159,1065877.4756816914
160,1089508.102077646
161,1215264.0444740371
162,1049850.8475922805
163,1127337.6296873807
164,1081376.7352034831
165,1073141.3784722881
166,1009306.6008462105
167,1027436.9251056993
168,1027921.0134892209
169,1084506.9009639043
170,1123323.321847253
171,1045555.8999999999
172,1065995.0772174506
173,1065615.1900315697
174,1112007.393163524
175,1110132.6082873791
176,1116836.9567915176
177,1051429.2086008238
178,1095064.206493031
179,1142146.316419648
180,1060766.1078612206
181,1066819.38361698
182,1084061.3818433601
183,1081088.6156223828
184,1087090.3001941005
185,1069745.5744735664
186,1110116.6642524865
187,1066596.5028720368
188,1102447.3081969568
189,1068280.6091957113
190,1025960.8764035844
191,1123675.3932405969
192,1050290.4511417071
193,1138646.3758834351
194,1158521.5120927633
195,1095916.0438354088
196,1115578.4895812469
197,1105665.917330339
198,1099638.204509764
199,1127758.9956412439
200,1122215.7043952409
201,1155627.695552177
202,1093030.255055784
203,1108494.1167233612
204,1138922.7071310747
205,1075998.6800608612
206,1142191.243795323
207,1101593.1307384742
208,1137710.8364803856
209,1166267.4881645888
210,1098405.7544889005
211,1112695.0134490866
212,1145603.026183533
213,1112307.9010321156
214,1174738.594608737
215,1158627.2569099208
216,1154888.8273956748
217,1094011.410822147
218,1112961.1620616307
219,1129384.554173686
220,1120127.533882557
221,1172207.9921618863
222,1109999.607895946
223,1117942.6000204936
224,1095388.6649822835
225,1198412.0127970935
226,1100043.477456694
227,1123687.4129322967
228,1196184.0468961154
229,1179237.546950426
230,1142335.740831558
231,1157534.89466323
232,1112494.0636399852
233,1134386.0513432238
234,1082120.9612501054
235,1136599.1003424
