0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
55966.90176,54647.34431,53358.75119,52070.89911,50783.51543,49497.08612,48218.25313,46953.77914,45708.37749,44543.55895,43490.29912,42463.48888,41464.19225,40493.63186,39555.72138,38645.1441,37763.32244,36915.24133,36101.44058,35322.52136,34580.01895,33883.13909,33235.55221,32633.17627,32068.44163,31537.71118,31040.04697,30579.06887,30151.22867,29756.28085,29387.87062,29044.51838,28728.47287,28436.66254,28167.08539,27918.42961,27688.73385,27475.63728,27276.47163,27090.14557,26917.99997,26757.5699,26610.20511,26475.21075,26350.84731,26235.71633,26129.60791,26032.48207,25940.72018,25855.19717,25776.50866,25704.15132,25638.01669,25578.60548,25524.85953,25476.43114,25431.3957,25389.06581,25348.42674,25309.71521,25274.98712,25243.91766,25214.78778,25187.14372,25161.1153,25136.42687,25112.63771,25089.69914,25067.63008,25046.52934,25026.49786,25007.38956,24989.25736,24972.13277,24956.08992,24940.52461,24925.16812,24910.22973,24896.33391,24882.8887,24869.78621,24857.13656,24844.81068,24833.42554,24822.32248,24811.6338,24801.24261,24791.11798,24781.0625,24771.21999,24761.63082,24752.37089,24743.4074,24734.55092,24725.83412,24717.28909,24708.88221,24700.56354,24692.40543,24684.34819,24676.37261
55966.90176,54599.66358,53234.01777,51923.92225,50626.42898,49333.70463,48042.74061,46752.95284,45465.04796,44185.24938,42934.38168,41757.68429,40649.7867,39630.20587,38647.27261,37697.86947,36781.54652,35905.33463,35070.41809,34278.09511,33525.83275,32815.78341,32155.61552,31547.40964,30987.95578,30474.93157,30007.5525,29579.74073,29182.83272,28820.09227,28484.89346,28173.55801,27888.45309,27627.84588,27388.18856,27166.82356,26961.70707,26770.61173,26593.7873,26430.58668,26279.98724,26140.94292,26013.69607,25896.50164,25787.38343,25686.51178,25592.67659,25508.46721,25429.82535,25358.81838,25293.10752,25234.74032,25182.91892,25135.5073,25091.45911,25049.4182,25009.18712,24972.58369,24938.34028,24906.38796,24876.8226,24849.25335,24822.66536,24796.96722,24772.27968,24748.9436,24726.56935,24705.4361,24685.02252,24665.36934,24646.88971,24629.28828,24612.44629,24595.97012,24580.51153,24565.88269,24551.6109,24537.68285,24524.33267,24511.46311,24499.27838,24487.47885,24476.26799,24465.6169,24455.12535,24444.6338,24434.24261,24424.29173,24414.54841,24405.01805,24395.63082,24386.37089,24377.4074,24368.55092,24359.83412,24351.28909,24342.88221,24334.56354,24326.40543,24318.34819,24310.37261
55966.90176,54599.66358,53232.42539,51865.1872,50518.4819,49208.72888,47906.79406,46609.39773,45315.57608,44024.48875,42737.15502,41456.7602,40216.94965,39061.00877,37956.84407,36908.92967,35949.10857,35042.6173,34187.68399,33381.41192,32621.8513,31915.77438,31260.07295,30655.62299,30105.88087,29605.56382,29151.76124,28738.02637,28359.80381,28017.94775,27707.86714,27423.00846,27161.90065,26923.5478,26705.55985,26504.48478,26320.18515,26148.30519,25990.19232,25843.93688,25710.48161,25587.37962,25473.31531,25367.08309,25269.9619,25181.45328,25101.77894,25030.8721,24967.62529,24909.55248,24854.81734,24804.21283,24757.48045,24715.42741,24677.68343,24642.30603,24608.6859,24576.45179,24545.51867,24516.04501,24488.03928,24461.68834,24436.44126,24411.99646,24389.08757,24367.21911,24346.24371,24326.46495,24307.46107,24288.84281,24270.82517,24253.90049,24237.99498,24222.66704,24208.03546,24194.00851,24180.3572,24167.36562,24154.86556,24143.13852,24131.5968,24120.34525,24109.26799,24098.6169,24088.36264,24078.18324,24068.10421,24058.29173,24048.54841,24039.01805,24029.63082,24020.37089,24011.4074,24002.55092,23993.83412,23985.28909,23976.88221,23968.56354,23960.40543,23952.34819,23944.37261
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47803.84248,46494.08392,45190.54211,43891.85094,42598.09465,41308.98417,40024.53446,38760.6905,37564.42847,36433.22037,35368.39689,34380.02622,33469.71137,32633.57926,31860.93115,31148.6864,30491.47846,29891.95873,29351.74547,28863.09831,28422.3302,28019.36411,27653.63474,27326.82905,27033.99647,26763.85848,26519.08391,26298.87359,26097.99128,25913.91733,25747.22032,25591.72162,25446.95098,25313.1422,25190.88728,25078.7758,24975.73406,24881.35136,24796.94407,24723.45192,24657.71171,24597.62389,24541.2348,24487.86106,24437.0633,24392.4081,24352.15136,24316.57986,24282.82955,24250.16235,24218.86638,24188.77282,24159.21007,24131.22643,24104.64737,24080.04824,24056.17353,24033.01199,24011.04034,23990.48971,23970.73758,23951.52747,23933.05465,23915.0607,23897.89928,23881.52907,23866.24786,23851.60394,23837.90882,23824.73201,23812.17838,23799.81111,23787.7955,23776.13852,23764.5968,23753.64607,23742.88097,23732.54203,23722.36264,23712.18324,23702.10421,23692.29173,23682.54841,23673.01805,23663.63082,23654.37089,23645.4074,23636.55092,23627.83412,23619.28909,23610.88221,23602.56354,23594.40543,23586.41071,23578.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46406.40029,45089.40139,43780.61125,42478.501,41182.55912,39890.76906,38604.22027,37336.03381,36110.13069,34972.80632,33917.71243,32950.22486,32057.47151,31238.18832,30497.44226,29828.24108,29225.40941,28685.79154,28201.84315,27770.46764,27378.85226,27027.7525,26714.26569,26432.7279,26175.63388,25944.14026,25738.66941,25550.39528,25378.8567,25223.20267,25079.65366,24947.52237,24825.33441,24714.5427,24613.61101,24522.80855,24440.18369,24366.6254,24300.66974,24239.49552,24183.52536,24132.04056,24084.1557,24039.32053,23997.9256,23960.36451,23926.87097,23894.54571,23863.71827,23834.31179,23805.76211,23778.01618,23751.47873,23726.25945,23702.7322,23679.67015,23656.91713,23635.71459,23616.21036,23597.10922,23578.73748,23560.8103,23543.44065,23527.02678,23511.55192,23497.21896,23483.55218,23470.48138,23457.72548,23445.17838,23432.86331,23421.15985,23409.81503,23398.58547,23387.64607,23376.88097,23366.54203,23356.36264,23346.18324,23336.10421,23326.29173,23316.54841,23307.01805,23297.63082,23288.37089,23279.4074,23270.55092,23261.83412,23253.28909,23245.00826,23237.00175,23229.15579,23221.41071,23213.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43690.67134,42377.22346,41071.85312,39773.17085,38479.70169,37194.03878,35925.69278,34695.43698,33552.66131,32525.03809,31581.64473,30724.38759,29953.1699,29254.98486,28633.15249,28089.69937,27607.58934,27179.94104,26801.09366,26460.69827,26157.76083,25886.34217,25641.78849,25421.23383,25226.9869,25050.83801,24890.66219,24744.64457,24609.70483,24486.89282,24376.49945,24275.95225,24184.42995,24101.33716,24024.99915,23956.4875,23895.98611,23839.96183,23787.98123,23739.25648,23693.19395,23650.25183,23610.15425,23573.59113,23541.93229,23511.90227,23482.84205,23454.84895,23427.59699,23400.89075,23375.10243,23350.22812,23326.95737,23304.78187,23283.36769,23263.05167,23244.09307,23225.58956,23208.05558,23190.97853,23174.66588,23159.1021,23144.25154,23130.21896,23116.55218,23103.59711,23091.15336,23078.91843,23066.86331,23055.15985,23043.81503,23032.58547,23021.64607,23010.88097,23000.54203,22990.36264,22980.18324,22970.10421,22960.29173,22950.54841,22941.01805,22931.63082,22922.37089,22913.4074,22904.74051,22896.33586,22888.10299,22880.00826,22872.00175,22864.15579,22856.41071,22848.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43661.75808,42296.77957,40979.15699,39670.57563,38369.5506,37076.28507,35790.0915,34520.97539,33301.74491,32177.02144,31172.49994,30270.36633,29467.31934,28745.22856,28109.96803,27555.26372,27071.44251,26644.27107,26268.94885,25937.41084,25643.93501,25384.48825,25150.90292,24941.77331,24758.80229,24593.83317,24443.33251,24304.69874,24176.93829,24059.8027,23954.15026,23858.90785,23774.87637,23698.89299,23628.56089,23564.09182,23505.2105,23451.11598,23400.95703,23353.71597,23309.56604,23267.89244,23229.10693,23193.99274,23163.36454,23134.40952,23106.16625,23078.66883,23051.59699,23025.24122,23000.07721,22975.99634,22954.0612,22932.79165,22911.95311,22892.56037,22874.4519,22857.06892,22840.25796,22823.7869,22807.66588,22792.1021,22777.43081,22763.71038,22750.35576,22737.59711,22725.15336,22712.91843,22700.86331,22689.15985,22677.81503,22666.58547,22655.64607,22644.88097,22634.54203,22624.36264,22614.18324,22604.10421,22594.29173,22584.54841,22575.01805,22565.88394,22556.93616,22548.28483,22539.74051,22531.33586,22523.10299,22515.00826,22507.00175,22499.15579,22491.41071,22483.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43661.75808,42294.51989,40928.20348,39585.15864,38273.66565,36972.71195,35677.41329,34391.26239,33128.79987,31930.15787,30840.54484,29867.89656,29021.93229,28278.58593,27631.69881,27067.41333,26583.28993,26156.85809,25779.14777,25453.42369,25169.97931,24921.86746,24697.76148,24497.72322,24326.6752,24169.46286,24023.69141,23889.26304,23765.37255,23653.30826,23553.61793,23464.36931,23383.24303,23309.35361,23240.40943,23177.15435,23119.81456,23067.03174,23018.86292,22973.47041,22930.27377,22889.90278,22852.42622,22818.24626,22788.14812,22759.4496,22731.64379,22704.77068,22678.26378,22652.02266,22627.60512,22604.75917,22583.7605,22563.34108,22543.64506,22524.88982,22507.32382,22490.06892,22473.25796,22457.0297,22441.22084,22425.96921,22411.43081,22397.71038,22384.35576,22371.59711,22359.15336,22346.91843,22334.86331,22323.15985,22311.81503,22300.58547,22289.64607,22278.88097,22268.54203,22258.36264,22248.18324,22238.1087,22228.60838,22219.17722,22209.95901,22200.88394,22191.93616,22183.28483,22174.74051,22166.33586,22158.10299,22150.00826,22142.00175,22134.15579,22126.41071,22118.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43661.75808,42294.51989,40927.2817,39560.77469,38201.07663,36881.18857,35577.94042,34281.33478,32998.7215,31751.83679,30587.32827,29539.60508,28631.15159,27850.58568,27186.71368,26613.96138,26121.6557,25695.76767,25328.16618,25013.00469,24740.37534,24498.7945,24279.36954,24083.97156,23913.04819,23758.56941,23617.99242,23491.66006,23374.93146,23267.61031,23169.91328,23080.79194,22998.741,22924.47443,22856.28812,22794.72915,22739.20127,22687.89822,22640.5257,22596.22052,22554.51888,22514.74989,22477.52983,22443.85086,22414.37704,22386.26275,22358.69042,22332.12947,22306.35966,22281.67932,22258.34515,22236.59138,22216.21702,22196.27652,22176.64506,22157.88982,22140.63015,22123.68741,22107.1886,22091.0297,22075.22084,22059.96921,22045.43081,22031.71038,22018.35576,22005.59711,21993.15336,21980.91843,21968.86331,21957.15985,21945.81503,21934.58547,21923.64607,21912.88097,21902.61006,21892.74282,21882.87558,21873.1087,21863.60838,21854.17722,21844.95901,21835.88394,21826.93616,21818.28483,21809.74051,21801.33586,21793.10299,21785.00826,21777.00175,21769.15579,21761.41071,21753.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43661.75808,42294.51989,40927.2817,39560.04351,38193.34591,36833.06297,35491.32858,34185.29766,32889.05225,31616.61777,30394.44992,29275.48369,28300.11762,27471.09406,26770.12515,26183.66357,25689.78231,25268.36041,24908.0058,24600.60635,24334.6351,24099.87818,23885.73942,23692.54594,23523.25624,23369.82141,23232.00523,23107.72561,22992.43896,22885.62056,22788.87146,22701.21144,22621.31547,22548.11124,22479.21148,22416.86506,22361.90177,22311.40586,22265.05225,22221.38766,22180.25055,22141.10587,22104.40652,22070.96102,22041.79935,22014.40678,21987.72429,21962.64074,21938.31893,21914.2629,21891.34413,21869.59138,21849.27473,21829.64639,21810.32708,21791.884,21774.63015,21757.68741,21741.1886,21725.0297,21709.22084,21693.96921,21679.43081,21665.71038,21652.35576,21639.59711,21627.15336,21614.91843,21602.86331,21591.15985,21579.81503,21568.71703,21558.08979,21547.63684,21537.61006,21527.74282,21517.87558,21508.1087,21498.60838,21489.17722,21479.95901,21470.88394,21461.93616,21453.28483,21444.74051,21436.33586,21428.10299,21420.00826,21412.00175,21404.15579,21396.41071,21388.74729
